baseMean;log2FoldChange.x;lfcSE;pvalue;padj.x;gene_id;State;ensgene;majZGA
0,045472923;-0,124767149;0,968972147;0,94623423;NA;1700015G11Rik;;NA;non_ZGA
0,070959913;-0,052266364;0,955936226;0,933021341;NA;1700016C15Rik;;NA;non_ZGA
2,831207052;2,201179322;0,41336354;3,99E-09;1,26E-08;1700016D06Rik;UP;NA;non_ZGA
86,04830568;1,755065747;0,191943925;1,42E-20;8,72E-20;1700016H13Rik;UP;NA;non_ZGA
2,212408554;0,265321615;0,615026268;0,584263355;0,646074134;1700016K19Rik;;NA;non_ZGA
242,4921681;-0,933788434;0,156634343;1,51E-09;4,90E-09;1700017B05Rik;DOWN;ENSMUSG00000032300;B6CASTF1_ZGA
0,073047087;0,269500706;1,05063903;0,825762926;NA;1700017N19Rik;;NA;non_ZGA
18,32573239;0,589573134;0,202824235;0,002946686;0,00533516;1700018B08Rik;UP;NA;non_ZGA
0,695207663;1,973284342;1,301974658;0,027227892;0,041991924;1700018F24Rik;UP;NA;non_ZGA
0,069680756;-0,124549986;0,965110208;0,998327919;NA;1700018G05Rik;;NA;NA
0,139816283;0,391780269;1,03405385;0,705777505;NA;1700018M17Rik;;NA;NA
0,688643705;-1,757077087;0,664941424;0,004171387;0,007381452;1700019A02Rik;DOWN;NA;non_ZGA
19,65631183;0,728654576;0,256099212;0,003069607;0,005544534;1700019D03Rik;UP;NA;non_ZGA
20,27623587;3,811406173;0,462077946;8,66E-18;4,60E-17;1700019M22Rik;UP;NA;NA
0,015680537;0,207368318;1,018034543;0,883247985;NA;1700019N19Rik;;NA;non_ZGA
0,045731488;-0,123776415;0,967796414;0,977617861;NA;1700020A23Rik;;NA;non_ZGA
11,08336958;1,849522975;0,286699817;2,34E-11;8,60E-11;1700020L13Rik;UP;NA;NA
0,405687855;-0,260070727;0,919372111;0,605682332;0,665616882;1700020L24Rik;;NA;non_ZGA
0,248250637;-0,14514646;0,929413415;0,886647983;NA;1700020N01Rik;;NA;NA
0,080620349;-0,230821591;0,95219156;0,972231247;NA;1700020N15Rik;;NA;non_ZGA
2,147293144;1,848821081;0,577947622;0,000276008;0,000570061;1700021F07Rik;UP;NA;non_ZGA
1,968808689;-2,661893362;0,870936635;0,000362975;0,000738945;1700022A21Rik;DOWN;NA;NA
1,661545032;-0,659287593;0,60739135;0,179612771;0,23289043;1700022I11Rik;;NA;non_ZGA
120,2074608;0,479475077;0,140254609;0,000547467;0,001091913;1700024B05Rik;UP;NA;NA
0,018425114;0,2173763;1,022128509;0,873615775;NA;1700024G13Rik;;NA;non_ZGA
0,580653814;-0,692020218;0,598680521;0,180966879;0,23444661;1700024J04Rik;;NA;NA
0,180014915;-0,149644815;0,921766658;0,961149524;NA;1700025B11Rik;;NA;NA
0,040622033;0,162617556;0,993411641;0,887489776;NA;1700025C18Rik;;NA;NA
52,60198289;0,926827174;0,21975617;1,36E-05;3,22E-05;1700025G04Rik;UP;NA;non_ZGA
6,354766894;0,422697836;0,235343097;0,063589888;0,091579574;1700028B04Rik;;NA;NA
12,49480772;0,88796731;0,282345906;0,000983054;0,001900423;1700028J19Rik;UP;NA;NA
23,22347605;1,191948153;0,254944473;1,19E-06;3,12E-06;1700028K03Rik;UP;NA;non_ZGA
0,815733113;0,427062837;0,730708402;0,420975438;0,488461624;1700028P14Rik;;NA;non_ZGA
16,18596516;-0,113345956;0,245482832;0,634734979;0,692193216;1700029F12Rik;;NA;non_ZGA
0,008187913;0,156190836;1,003293134;0,902562873;NA;1700029H14Rik;;NA;non_ZGA
1,380466239;-1,857683044;0,718988086;0,002775469;0,005043147;1700029I15Rik;DOWN;NA;non_ZGA
8,360322758;-0,137559162;0,477778665;0,74503633;0,789700734;1700029J07Rik;;NA;non_ZGA
76,07647194;-0,765888415;0,197001312;7,16E-05;0,000157663;1700030C10Rik;DOWN;NA;NA
39,5405784;0,772762477;0,182508119;1,54E-05;3,63E-05;1700030J22Rik;UP;NA;non_ZGA
73,66973444;0,496766119;0,180203135;0,004930242;0,008626204;1700030K09Rik;UP;NA;non_ZGA
0,319064304;0,325575488;0,971765908;0,597486492;0,658136401;1700031F05Rik;;NA;non_ZGA
0,057771741;-0,363260245;1,084869789;0,962647433;NA;1700031L13Rik;;NA;NA
2,842166233;1,36088803;0,592060944;0,006400827;0,010992544;1700031M16Rik;UP;NA;NA
0,004769858;0,137273946;0,999378572;0,902562873;NA;1700034E13Rik;;NA;non_ZGA
0,251099;0,449312584;1,023545088;0,571221544;NA;1700034I23Rik;;NA;NA
0,17189662;0,553268733;1,121355647;0,629045294;NA;1700034J05Rik;;NA;non_ZGA
5,36353656;0,965507782;0,399613941;0,006141418;0,010579533;1700037C18Rik;UP;NA;non_ZGA
26,1081349;-0,173259385;0,187577797;0,347745307;0,414614917;1700037H04Rik;;NA;non_ZGA
0;NA;NA;NA;NA;1700040F15Rik;;NA;NA
0,018940552;-0,002601798;0,967693114;0,916451666;NA;1700042G07Rik;;NA;non_ZGA
0,62959449;0,47511591;0,414447852;0,226024023;0,28531318;1700049E17Rik1;;NA;NA
9,855603494;0,796525606;0,354730763;0,015544294;0,025079524;1700049E17Rik2;UP;NA;NA
0,079591336;-0,401557202;1,079809806;0,921555211;NA;1700049L16Rik;;NA;NA
44,26406867;3,737073696;0,319252574;9,51E-33;1,05E-31;1700056E22Rik;UP;NA;non_ZGA
11,81596655;1,008110113;0,146398867;2,87E-12;1,12E-11;1700057G04Rik;UP;NA;non_ZGA
0,337118702;-0,124532594;0,892746965;0,982822103;0,986662698;1700063K16Rik;;NA;NA
0,306477695;0,604068542;1,108019938;0,426163394;0,493300149;1700064H15Rik;;NA;NA
0,120106214;0,378118258;0,968545974;0,657393301;NA;1700065I16Rik;;NA;NA
2,624639612;-2,102964594;0,483058857;2,34E-06;5,95E-06;1700066B19Rik;DOWN;NA;non_ZGA
242,8505352;1,638797542;0,15608207;2,24E-26;1,83E-25;1700066M21Rik;UP;ENSMUSG00000038323;non_ZGA
131,8626652;1,920283643;0,209502792;9,37E-21;5,78E-20;1700067K01Rik;UP;NA;non_ZGA
0,729780754;1,080728897;0,927676769;0,064704823;0,093084668;1700067P10Rik;;NA;non_ZGA
22,42420836;-4,320114186;0,311119001;1,22E-44;2,31E-43;1700069L16Rik;DOWN;NA;NA
0,007194191;0,151642274;1,002246496;0,902562873;NA;1700071K01Rik;;NA;non_ZGA
0,006949667;0,150426915;1,001978163;0,902562873;NA;1700073E17Rik;;NA;NA
0,029812054;0,236794256;1,031412197;0,873615775;NA;1700074P13Rik;;NA;non_ZGA
5,665045229;-1,940324092;0,435309994;1,81E-06;4,66E-06;1700084J12Rik;DOWN;NA;NA
333,984789;3,138076998;0,201402746;7,97E-56;2,26E-54;1700084M14Rik;UP;NA;NA
0,344920229;0,619838065;1,2046556;0,399164611;0,466803773;1700086D15Rik;;NA;NA
12,27114573;0,014367803;0,337515359;0,96307004;0,971298186;1700086L19Rik;;NA;NA
19,8785259;-1,84727648;0,225188021;5,71E-17;2,91E-16;1700088E04Rik;DOWN;NA;non_ZGA
0,0892184;-0,281251566;0,982860872;0,981790715;NA;1700091H14Rik;;NA;NA
8,446005185;-1,662892676;0,286169415;1,90E-09;6,14E-09;1700092M07Rik;DOWN;NA;non_ZGA
13,91404322;-0,096581202;0,241884543;0,681704487;0,734251895;1700093K21Rik;;NA;non_ZGA
