;Supplementary Table 2. Differential gene expression analyses in Dux WT and MZ-KO 2-cell embryos;;;;;;;;;;;;;;;;RPKM: Reads Per Kilobase of gene, per Million mapped reads
Gene Symbol;RPKM;;;;;;;;DESeq_output;;;;;;;Group (FC>2&FDR<0.05);Three RNA-seq replicates from each group were used for analyses. Negative binomial test from DESeq R package was used to compute FDR using raw read counts of each gene.  Differentially expressed genes were defined as (RPKM > 1 in either WT or MZ-KO, FDR < 0.05, and FC > 2)
;WT_rep1;WT_rep2;WT_rep3;MZ-KO_rep1;MZ-KO_rep2;MZ-KO_rep3;WT_mean;KO_mean;baseMean;baseMeanA;baseMeanB;fold change (FC);log2FC;pval;FDR;;Related to Figure 2A
0610038B21Rik;0,932907;0,664343;0,274894;0,365236;0,622439;0,308455;0,624048;0,432043333;34,30796939;34,04575467;34,57018411;1,015403666;0,022053374;0,981912061;1;similar level;
0610038L08Rik;0;0;0,248045;0,117994;0,208068;0,0473777;0,082681667;0,1244799;17,85469529;16,8905428;18,81884779;1,114164774;0,155962608;0,935962503;1;similar level;
0610039K10Rik;0,491755;0,493581;0,505812;0,0908456;0,255669;0,214491;0,497049333;0,187001867;24,88398634;30,5747043;19,19326839;0,627749927;-0,671738139;0,422318108;0,913536461;similar level;
0610040B10Rik;12,7586;11,9959;3,36342;5,10358;11,5182;14,8386;9,37264;10,48679333;46,50420938;41,43378402;51,57463473;1,24474836;0,315854115;0,470060716;0,935786269;similar level;
0610040F04Rik;68,8292;44,0732;59,265;63,5507;127,969;101,406;57,38913333;97,6419;1000,562676;736,0507636;1265,074588;1,718732797;0,781345274;0,015060367;0,249551203;similar level;
0610040J01Rik;16,7922;27,2514;22,8833;10,7831;11,5128;9,95955;22,30896667;10,75181667;489,4754991;650,9136709;328,0373272;0,503964415;-0,988606227;0,00045059;0,030201685;similar level;
0610043K17Rik;1,75035;1,23076;1,92261;0,648293;0,454072;0,385549;1,634573333;0,495971333;10,81836181;16,24460845;5,392115159;0,331932602;-1,591037757;0,208104838;0,767799405;similar level;
0910001L09Rik;22,5535;21,8789;25,7775;16,4738;19,9999;32,1426;23,4033;22,8721;285,8892287;279,3471586;292,4312988;1,046838279;0,066038585;0,864331255;1;similar level;
100043387;0;0;0,0331285;0;0;0,0376459;0,011042833;0,012548633;5,466358584;5,082952192;5,849764977;1,150859728;0,202712002;0,852486916;1;similar level;
1100001G20Rik;3,8601;0,620398;0;1,71564;0,200276;0,453473;1,493499333;0,789796333;6,072719143;7,028356915;5,11708137;0,728062253;-0,457866282;0,747842283;0,990598938;similar level;
