gene name;baseMean;log2FoldChange;pvalue;padj;logP;Group;class
1700019B03Rik;7,395221718;-1,967385288;0,083878921;0,196593737;0,706430322;not-signficant;other
Eci1;325,516067;-0,811951249;0,083916781;0,196651027;0,706303782;not-signficant;major
Mxi1;25,30170551;-1,215374608;0,083966673;0,196736492;0,706115078;not-signficant;other
Reg3g;17,74408718;1,376139173;0,084133735;0,197096418;0,705321269;not-signficant;other
Camk2n2;7,569831485;-1,694476863;0,084178216;0,19716911;0,705161124;not-signficant;other
Gm12596;19,65794711;-1,25736273;0,084195348;0,19717773;0,705142138;not-signficant;other
Smg9;9,125620245;-1,865942033;0,084214687;0,197191516;0,705111775;not-signficant;maternal
Ngfr;2,874896785;2,976163426;0,084293344;0,197344169;0,704775702;not-signficant;other
Xcr1;1,901442456;-4,477414117;0,08431444;0,197362034;0,704736387;not-signficant;other
Gas2l1;36,47251924;1,00574505;0,084439215;0,197566034;0,704287719;not-signficant;other
N4bp3;7,963641218;1,881163896;0,084428336;0,197566034;0,704287719;not-signficant;other
Nfix;19,5258552;1,216641942;0,084442025;0,197566034;0,704287719;not-signficant;other
Eea1;582,6474821;0,491099153;0,084469402;0,197598547;0,704216254;not-signficant;other
1700123I01Rik;5,607907584;-2,331162081;0,084550976;0,197600161;0,704212706;not-signficant;other
Dnmt3l;155,2946018;0,646154846;0,084495344;0,197600161;0,704212706;not-signficant;maternal
Gstm6;5,866433717;2,328343787;0,084544084;0,197600161;0,704212706;not-signficant;maternal
Tulp1;7,408490712;-1,795055493;0,084504725;0,197600161;0,704212706;not-signficant;other
Txnrd1;165,7883236;-0,629567848;0,084514969;0,197600161;0,704212706;not-signficant;maternal
Yipf3;100,7975315;-0,645858012;0,084527038;0,197600161;0,704212706;not-signficant;other
Dscr3;34,57021982;-1,161670521;0,084705463;0,197929647;0,703489149;not-signficant;other
Gpi1;145,6119174;0,613840354;0,08472243;0,197937741;0,703471391;not-signficant;other
Mid2;4,012930926;3,459407823;0,084932594;0,198397125;0,702464625;not-signficant;other
Ppcdc;23,99643501;-1,081634218;0,085020287;0,198570326;0,702085651;not-signficant;other
Gskip;171,2456281;-0,823398636;0,085036008;0,198575402;0,70207455;not-signficant;major
AU023762;6,426624199;2,111419703;0,08505583;0,198590053;0,702042508;not-signficant;maternal
Dusp11;64,70619847;0,874586854;0,085108333;0,198680992;0,70184368;not-signficant;other
Grhl3;4,933874036;2,458857591;0,085143257;0,19873087;0,701734667;not-signficant;other
Lsm5;50,33767151;-0,861732157;0,085157692;0,198732917;0,701730193;not-signficant;other
Ifitm2;7,259410522;2,210203313;0,085186139;0,198736022;0,701723408;not-signficant;other
Speer8-ps1;5,12169268;-2,334987649;0,08517559;0,198736022;0,701723408;not-signficant;other
Slc38a1;4,416619101;2,451588345;0,085201831;0,198740998;0,701712533;not-signficant;other
1190007I07Rik;23,20839964;1,010083268;0,085231867;0,198747805;0,701697659;not-signficant;other
Bcl2l12;14,90534391;-1,343872231;0,085218556;0,198747805;0,701697659;not-signficant;other
Gm11190;3,444054402;2,657424219;0,085247949;0,198753688;0,701684804;not-signficant;other
Anapc15;512,3297658;-0,624971958;0,085282277;0,198802101;0,70157903;not-signficant;other
Snrnp40;167,34234;-0,675570273;0,085444478;0,199148538;0,700822877;not-signficant;other
1700042G15Rik;1,887771139;-4,467171186;0,085556814;0,199315286;0,700459393;not-signficant;major
Grm1;14,09896742;1,699341355;0,085549464;0,199315286;0,700459393;not-signficant;other
Rac1;932,9219335;0,501516971;0,085532949;0,199315286;0,700459393;not-signficant;other
Mylk4;3,606847301;2,720273146;0,085676617;0,199562665;0,699920704;not-signficant;other
Nus1;374,1159821;0,563243474;0,085702361;0,199590912;0,699859237;not-signficant;other
Pcnxl2;3,952989779;-2,574201982;0,085728445;0,199619943;0,699796073;not-signficant;other
Edem2;499,5201926;0,684778255;0,085846006;0,199861936;0,69926991;not-signficant;other
Mras;18,00389547;1,273674251;0,08591428;0,199893892;0,699200477;not-signficant;other
Pkp3;7,548186362;-1,894921806;0,085903746;0,199893892;0,699200477;not-signficant;other
Prune;428,613843;0,690017378;0,085891845;0,199893892;0,699200477;not-signficant;other
Tbrg4;165,9720635;-0,603412989;0,085902897;0,199893892;0,699200477;not-signficant;other
Iqck;12,85538755;1,390939279;0,085988013;0,200033691;0,698896851;not-signficant;other
Hat1;260,2127167;-0,741329086;0,086168436;0,200421601;0,698055472;not-signficant;other
U2surp;167,7237446;-0,661725028;0,086220651;0,200511234;0,69786129;not-signficant;other
Kctd21;8,130403517;-1,981503063;0,086241174;0,200527146;0,697826828;not-signficant;other
Mafk;36,66475418;-0,902733012;0,086317524;0,200672842;0,697511399;not-signficant;major
Mgea5;179,1487268;-0,620499038;0,086437333;0,200919509;0,696977893;not-signficant;other
AU019823;82,88350467;-0,964017809;0,086491511;0,2009817;0,696843484;not-signficant;other
Tmem176b;2,784332035;3,729009421;0,086485508;0,2009817;0,696843484;not-signficant;other
Lsm10;157,6906235;-0,823446473;0,086532118;0,201044188;0,696708477;not-signficant;other
Gch1;224,5496855;-0,647884766;0,086598823;0,201135405;0,696511476;not-signficant;other
Kcnk18;222,1511247;0,990258634;0,086593223;0,201135405;0,696511476;not-signficant;maternal
Intu;5,610465944;1,960427388;0,086636623;0,201191322;0,696390756;not-signficant;other
Fam192a;341,4631686;-0,586806539;0,086667092;0,201230197;0,696306847;not-signficant;other
Ppid;386,0476652;-0,823675115;0,086823126;0,201528643;0,69566322;not-signficant;other
Zcchc13;5,135858237;-2,374295681;0,086813531;0,201528643;0,69566322;not-signficant;other
Atp6v1b2;518,6812499;0,518283101;0,086856412;0,201573984;0,695565521;not-signficant;other
BC005561;24,60300636;-1,042027614;0,086930212;0,201681394;0,695334165;not-signficant;other
Dync1i1;21,35645044;1,149578157;0,086927795;0,201681394;0,695334165;not-signficant;other
Fbxw27;194,3075352;0,770025396;0,086944446;0,201682496;0,695331793;not-signficant;other
Klhdc10;50,43575685;-0,772049315;0,086970282;0,201710506;0,695271482;not-signficant;other
Dgkh;55,78759838;0,761930386;0,087024072;0,201738701;0,695210779;not-signficant;maternal
Gm5779;65,49362574;0,808589624;0,087037491;0,201738701;0,695210779;not-signficant;maternal
