"Gene_id","Intersection_category","Intersection_count"
"ATP6AP2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"ATRAID","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATXN3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"AU015228","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"AVL9","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"AXDND1","B6D2F1 pure (N=1)",1
"B020031M17RIK","B6D2F1 pure (N=1)",1
"B230219D22RIK","B6D2F1 pure (N=1)",1
"B2M","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"B4GALT3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BAG1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BAG5","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"BBS1","B6D2F1 pure (N=1)",1
"BBS2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BC028528","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"BC147527","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"BCL2L11","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"BICD1","B6D2F1 pure (N=1)",1
"BOLA1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"BOLA2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"BSPRY","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BTG3","B6D2F1 pure (N=1)",1
"BZW1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"C130026I21RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"C1D","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"C730034F03RIK","B6D2F1 pure (N=1)",1
"CAB39","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CALM3","B6D2F1 pure (N=1)",1
"CARS2","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"CASC4","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"CASP3","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"CASP6","B6D2F1 pure (N=1)",1
"CBR1","B6D2F1 pure (N=1)",1
"CBWD1","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"CCDC124","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CCDC36","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CCDC63","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
