"Intersection_category","Intersection_count","Gene_name","Gene_id"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Dhps","ENSMUSG00000060038"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Dhtkd1","ENSMUSG00000025815"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Dhx9","ENSMUSG00000042699"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Dis3","ENSMUSG00000033166"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Dna2","ENSMUSG00000036875"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Dnajb14","ENSMUSG00000074212"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Dnajb9","ENSMUSG00000014905"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Dnajc15","ENSMUSG00000022013"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Dnajc4","ENSMUSG00000024963"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Dnajc5","ENSMUSG00000000826"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Dpm1","ENSMUSG00000078919"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Dpm3","ENSMUSG00000042737"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Dppa4","ENSMUSG00000058550"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Dppa5a","ENSMUSG00000060461"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Dr1","ENSMUSG00000029265"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Drg1","ENSMUSG00000020457"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Drg2","ENSMUSG00000020537"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Dusp22","ENSMUSG00000069255"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Dxo","ENSMUSG00000040482"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Dynll1","ENSMUSG00000009013"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"E030030I06Rik","ENSMUSG00000097327"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Ebna1bp2","ENSMUSG00000028729"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Eci1","ENSMUSG00000024132"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Ecsit","ENSMUSG00000066839"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Eda","ENSMUSG00000059327"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Edf1","ENSMUSG00000015092"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Eef1akmt1","ENSMUSG00000021951"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Eef1akmt2","ENSMUSG00000030960"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Eef1akmt4","ENSMUSG00000115219"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Ei24","ENSMUSG00000062762"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Eif3a","ENSMUSG00000024991"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Eif3b","ENSMUSG00000056076"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Eif3c","ENSMUSG00000030738"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Eif3g","ENSMUSG00000070319"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Eif3h","ENSMUSG00000022312"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Eif4a3","ENSMUSG00000025580"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Eif4e2","ENSMUSG00000026254"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Eif4ebp1","ENSMUSG00000031490"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Ell2","ENSMUSG00000001542"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Eloa","ENSMUSG00000028668"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Elob","ENSMUSG00000055839"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Eloc","ENSMUSG00000079658"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Elp6","ENSMUSG00000054836"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Emc3","ENSMUSG00000030286"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Emc4","ENSMUSG00000027131"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Emc6","ENSMUSG00000047260"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Emg1","ENSMUSG00000004268"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Ercc1","ENSMUSG00000003549"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Esf1","ENSMUSG00000045624"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Etf1","ENSMUSG00000024360"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Exd2","ENSMUSG00000032705"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Exosc2","ENSMUSG00000039356"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Exosc5","ENSMUSG00000061286"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Faap24","ENSMUSG00000030493"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Faf2","ENSMUSG00000025873"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Fam161b","ENSMUSG00000021234"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Fam45a","ENSMUSG00000024993"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Fam53a","ENSMUSG00000037339"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Fancm","ENSMUSG00000055884"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Fau","ENSMUSG00000038274"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Fbl","ENSMUSG00000046865"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Fbxo15","ENSMUSG00000034391"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Fbxo36","ENSMUSG00000073633"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Fcf1","ENSMUSG00000021243"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Fdps","ENSMUSG00000059743"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Fem1c","ENSMUSG00000033319"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Fgd4","ENSMUSG00000022788"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Fkbp11","ENSMUSG00000003355"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Fkbp3","ENSMUSG00000020949"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Fkbp4","ENSMUSG00000030357"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Fkbp6","ENSMUSG00000040013"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Fmr1","ENSMUSG00000000838"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Fmr1nb","ENSMUSG00000062170"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Foxr1","ENSMUSG00000074397"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Frg2f1","ENSMUSG00000087385"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Ftl1","ENSMUSG00000050708"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Ftl1-ps1","ENSMUSG00000062382"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Fundc1","ENSMUSG00000025040"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"G2e3","ENSMUSG00000035293"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"G3bp1","ENSMUSG00000018583"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Gabarap","ENSMUSG00000018567"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Gabarapl2","ENSMUSG00000031950"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Gart","ENSMUSG00000022962"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Gcsh","ENSMUSG00000034424"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gde1","ENSMUSG00000033917"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Gfpt1","ENSMUSG00000029992"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gldc","ENSMUSG00000024827"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Glrx2","ENSMUSG00000018196"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Glrx3","ENSMUSG00000031068"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gls","ENSMUSG00000026103"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Glul","ENSMUSG00000026473"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Gm10012","ENSMUSG00000057580"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm10163","ENSMUSG00000066443"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm10275","ENSMUSG00000069682"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm10717","ENSMUSG00000095891"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm10718","ENSMUSG00000095186"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm10719","ENSMUSG00000095547"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Gm10721","ENSMUSG00000096519"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm10722","ENSMUSG00000091028"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm10800","ENSMUSG00000075014"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm10801","ENSMUSG00000075015"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Gm11168","ENSMUSG00000096385"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Gm11237","ENSMUSG00000094116"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Gm11239","ENSMUSG00000095048"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2,"Gm11487","ENSMUSG00000066137"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm11517","ENSMUSG00000081249"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm11518","ENSMUSG00000081604"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Gm11543","ENSMUSG00000081007"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm11546","ENSMUSG00000083227"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm11756","ENSMUSG00000093962"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm11758","ENSMUSG00000096530"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm11808","ENSMUSG00000068240"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm12613","ENSMUSG00000095291"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm12621","ENSMUSG00000096363"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm12625","ENSMUSG00000094005"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm12627","ENSMUSG00000095680"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm12790","ENSMUSG00000078626"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm13147","ENSMUSG00000087207"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Gm13212","ENSMUSG00000078502"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm13736","ENSMUSG00000082908"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm13769","ENSMUSG00000089859"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm13867","ENSMUSG00000083530"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm15443","ENSMUSG00000082588"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm15500","ENSMUSG00000086583"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm16026","ENSMUSG00000079455"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Gm16286","ENSMUSG00000024571"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Gm16381","ENSMUSG00000113489"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Gm16427","ENSMUSG00000096044"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm17132","ENSMUSG00000061331"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm18283","ENSMUSG00000115920"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm19196","ENSMUSG00000109975"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm2000","ENSMUSG00000078193"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Gm2001","ENSMUSG00000113951"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm20390","ENSMUSG00000091228"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm20594","ENSMUSG00000096887"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2,"Gm20765","ENSMUSG00000095022"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2,"Gm21293","ENSMUSG00000091779"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2,"Gm21312","ENSMUSG00000094144"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Gm21596","ENSMUSG00000096006"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm21731","ENSMUSG00000063846"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Gm21762","ENSMUSG00000094027"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Gm21818","ENSMUSG00000095653"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm28285","ENSMUSG00000117694"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm29666","ENSMUSG00000100967"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm29761","ENSMUSG00000110761"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Gm3183","ENSMUSG00000095954"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm3286","ENSMUSG00000079423"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm3286","ENSMUSG00000094337"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2,"Gm38100","ENSMUSG00000104158"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Gm428","ENSMUSG00000095341"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm4332","ENSMUSG00000106037"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm46223","ENSMUSG00000110720"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm47191","ENSMUSG00000113850"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Gm47924","ENSMUSG00000112101"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm48216","ENSMUSG00000114367"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm49359","ENSMUSG00000113450"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Gm5039","ENSMUSG00000093847"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Gm5286","ENSMUSG00000090268"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm5590","ENSMUSG00000046372"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm5612","ENSMUSG00000074501"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm5616","ENSMUSG00000063543"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm6054","ENSMUSG00000057157"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm6211","ENSMUSG00000091577"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm6763","ENSMUSG00000097427"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm6851","ENSMUSG00000056836"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm6871","ENSMUSG00000090744"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm6902","ENSMUSG00000094682"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2,"Gm7488","ENSMUSG00000039617"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gm7536","ENSMUSG00000057036"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm8203","ENSMUSG00000101878"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm8730","ENSMUSG00000063696"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm8741","ENSMUSG00000091655"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gm8764","ENSMUSG00000097878"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gm9794","ENSMUSG00000107176"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Gm9797","ENSMUSG00000045455"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Gm9973","ENSMUSG00000113175"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Golga1","ENSMUSG00000026754"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Golt1b","ENSMUSG00000030245"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gon7","ENSMUSG00000091931"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Gosr1","ENSMUSG00000010392"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Gpn1","ENSMUSG00000064037"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gpn3","ENSMUSG00000029464"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Gpx1","ENSMUSG00000063856"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Gpx4","ENSMUSG00000075706"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Grb2","ENSMUSG00000059923"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Grhl2","ENSMUSG00000022286"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Grk4","ENSMUSG00000052783"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Grwd1","ENSMUSG00000053801"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Gskip","ENSMUSG00000044715"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Gtf2h4","ENSMUSG00000001524"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Gtf2h5","ENSMUSG00000034345"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Gtf3c6","ENSMUSG00000019837"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"H2afj","ENSMUSG00000060032"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"H2afv","ENSMUSG00000041126"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"H2afz","ENSMUSG00000037894"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Hagh","ENSMUSG00000024158"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Hccs","ENSMUSG00000031352"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Hdac1","ENSMUSG00000028800"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Hdgfl2","ENSMUSG00000002833"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Herc4","ENSMUSG00000020064"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Higd1a","ENSMUSG00000038412"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Hilpda","ENSMUSG00000043421"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Hinfp","ENSMUSG00000032119"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Hira","ENSMUSG00000022702"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Hist1h2ap","ENSMUSG00000094777"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Hmbs","ENSMUSG00000032126"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Hmgb3","ENSMUSG00000015217"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Hmgn5","ENSMUSG00000031245"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Hmmr","ENSMUSG00000020330"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Hmox2","ENSMUSG00000004070"
