"Intersection_category","Intersection_count","Gene_name","Gene_id"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Apex1","ENSMUSG00000035960"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Aprt","ENSMUSG00000006589"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Aqp9","ENSMUSG00000032204"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Aqr","ENSMUSG00000040383"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Arf4","ENSMUSG00000021877"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Arfrp1","ENSMUSG00000038671"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Arglu1","ENSMUSG00000040459"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Arhgap8","ENSMUSG00000078954"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Arhgef40","ENSMUSG00000004562"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Arid4b","ENSMUSG00000039219"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2,"Arid5a","ENSMUSG00000037447"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Arih2","ENSMUSG00000064145"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Arl16","ENSMUSG00000057594"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Arl3","ENSMUSG00000025035"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Armc7","ENSMUSG00000057219"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Arpc1a","ENSMUSG00000029621"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Arsk","ENSMUSG00000021592"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Asb13","ENSMUSG00000033781"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Asb6","ENSMUSG00000039483"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Ascc2","ENSMUSG00000020412"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Asna1","ENSMUSG00000052456"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Asxl2","ENSMUSG00000037486"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Atad2","ENSMUSG00000022360"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Atf1","ENSMUSG00000023027"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Atf7ip2","ENSMUSG00000039200"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Atg13","ENSMUSG00000027244"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Atl3","ENSMUSG00000024759"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Atox1","ENSMUSG00000018585"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Atp13a3","ENSMUSG00000022533"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Atp5g1","ENSMUSG00000006057"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Atp5g3","ENSMUSG00000018770"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Atp5j","ENSMUSG00000022890"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Atp5o","ENSMUSG00000116933"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Atp5o","ENSMUSG00000022956"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Atp6ap2","ENSMUSG00000031007"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Atpif1","ENSMUSG00000054428"
