"Gene_id","Intersection_category","Intersection_count"
"ACPP","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ACSL3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"ACTR1A","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ACTR6","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ACTR8","B6D2F1 pure (N=1)",1
"ACYP1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"ADAM10","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ADAMTS19","B6D2F1 pure (N=1)",1
"ADARB2","B6D2F1 pure (N=1)",1
"ADD3","B6D2F1 pure (N=1)",1
"ADI1","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ADIPOR1","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ADIPOR2","B6D2F1 pure (N=1)",1
"ADK","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ADSS","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ADTRP","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"AF067063","B6D2F1 pure (N=1)",1
"AFF4","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"AFG3L2","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"AFTPH","B6D2F1 pure (N=1)",1
"AGGF1","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"AGO2","B6D2F1 pure (N=1)",1
"AGPAT5","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"AHCTF1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"AHSA1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"AI481877","B6D2F1 pure (N=1)",1
"AI987944","B6D2F1 pure (N=1)",1
"AIFM1","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"AIMP2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"AKAP12","B6D2F1 pure (N=1)",1
"AKAP17B","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"AKAP8","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"AKIRIN1","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"AKIRIN2","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"ALDH1A3","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ALDOA","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"ALG14","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"ALG9","B6D2F1 pure (N=1)",1
"ALKBH1","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
