"Intersection_category","Intersection_count","Gene_name","Gene_id"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"0610012G03Rik","ENSMUSG00000107002"
"B6D2F1 pure (N=1)",1,"1110004F10Rik","ENSMUSG00000030663"
"C57BL/6 pure (N=3)",1,"1110008P14Rik","ENSMUSG00000039195"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"1110038F14Rik","ENSMUSG00000063236"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"1600012H06Rik","ENSMUSG00000050088"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"1700021F05Rik","ENSMUSG00000019797"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"1700084M14Rik","ENSMUSG00000057805"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"1810009A15Rik","ENSMUSG00000071653"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"1810022K09Rik","ENSMUSG00000078784"
"CAST/EiJxC57BL/6J (N=1)",1,"1810030O07Rik","ENSMUSG00000044148"
"C57BL/6 pure (N=3)",1,"2010005H15Rik","ENSMUSG00000095620"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"2210016F16Rik","ENSMUSG00000021550"
"B6D2F1 pure (N=1)",1,"2210016L21Rik","ENSMUSG00000029559"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"2210409E12Rik","ENSMUSG00000081766"
"C57BL/6 pure (N=3)",1,"2310022A10Rik","ENSMUSG00000049643"
"C57BL/6 pure (N=3)",1,"2310057M21Rik","ENSMUSG00000040177"
"CAST/EiJxC57BL/6J (N=1)",1,"2410004B18Rik","ENSMUSG00000036873"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"2410015M20Rik","ENSMUSG00000049760"
"B6D2F1 pure (N=1)",1,"2610005L07Rik","ENSMUSG00000071793"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"2610044O15Rik8","ENSMUSG00000071302"
"C57BL/6 pure (N=3)",1,"2610318N02Rik","ENSMUSG00000049916"
"CAST/EiJxC57BL/6J (N=1)",1,"2610507B11Rik","ENSMUSG00000010277"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"2700097O09Rik","ENSMUSG00000062198"
"C57BL/6 x mix (N=3)",1,"2810004N23Rik","ENSMUSG00000031984"
"B6D2F1 pure (N=1)",1,"2810006K23Rik","ENSMUSG00000047635"
"C57BL/6 pure (N=3)",1,"2810025M15Rik","ENSMUSG00000049881"
"CAST/EiJxC57BL/6J (N=1)",1,"4930453N24Rik","ENSMUSG00000059920"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"4930548H24Rik","ENSMUSG00000029138"
"CAST/EiJxC57BL/6J (N=1)",1,"4933427D14Rik","ENSMUSG00000020807"
"C57BL/6 pure (N=3)",1,"4933434E20Rik","ENSMUSG00000027942"
"CAST/EiJxC57BL/6J (N=1)",1,"5031439G07Rik","ENSMUSG00000036046"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"5730455P16Rik","ENSMUSG00000057181"
"CAST/EiJxC57BL/6J (N=1)",1,"9430038I01Rik","ENSMUSG00000040139"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"9930104L06Rik","ENSMUSG00000044730"
"C57BL/6 pure (N=3)",1,"A430005L14Rik","ENSMUSG00000047613"
"CAST/EiJxC57BL/6J (N=1)",1,"A4galt","ENSMUSG00000047878"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"A530032D15Rik","ENSMUSG00000089844"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"AA623943","ENSMUSG00000081478"
"B6D2F1 pure (N=1)",1,"Aaed1","ENSMUSG00000021482"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Aamdc","ENSMUSG00000035642"
"CAST/EiJxC57BL/6J (N=1)",1,"Aatf","ENSMUSG00000018697"
"C57BL/6 x mix (N=3)",1,"Abcb5","ENSMUSG00000072791"
"C57BL/6 pure (N=3)",1,"Abhd18","ENSMUSG00000037818"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Abhd6","ENSMUSG00000025277"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Abt1","ENSMUSG00000036376"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"AC124237.1","ENSMUSG00000117001"
"C57BL/6 pure (N=3)",1,"AC125149.1","ENSMUSG00000079192"
"C57BL/6 pure (N=3)",1,"AC125149.3","ENSMUSG00000079800"
"C57BL/6 pure (N=3)",1,"AC127331.6","ENSMUSG00000117949"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"AC132444.1","ENSMUSG00000079222"
"C57BL/6 pure (N=3)",1,"AC132444.2","ENSMUSG00000094728"
"C57BL/6 pure (N=3)",1,"AC132444.4","ENSMUSG00000095450"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"AC133103.1","ENSMUSG00000079190"
"B6D2F1 pure (N=1)",1,"AC133103.5","ENSMUSG00000095672"
"C57BL/6 pure (N=3)",1,"AC133103.6","ENSMUSG00000095787"
"CAST/EiJxC57BL/6J (N=1)",1,"AC149090.1","ENSMUSG00000095041"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"AC168977.1","ENSMUSG00000079808"
"C57BL/6 pure (N=3)",1,"AC169506.2","ENSMUSG00000117150"
"B6D2F1 pure (N=1)",1,"Acad9","ENSMUSG00000027710"
"C57BL/6 pure (N=3)",1,"Acat2","ENSMUSG00000023832"
"C57BL/6 pure (N=3)",1,"Acer2","ENSMUSG00000038007"
"C57BL/6 pure (N=3)",1,"Acnat1","ENSMUSG00000070985"
"C57BL/6 pure (N=3)",1,"Acot13","ENSMUSG00000006717"
"C57BL/6 pure (N=3)",1,"Acot7","ENSMUSG00000028937"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Acot8","ENSMUSG00000017307"
"CAST/EiJxC57BL/6J (N=1)",1,"Acsl4","ENSMUSG00000031278"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Actb","ENSMUSG00000029580"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Actn2","ENSMUSG00000052374"
"C57BL/6 pure (N=3)",1,"Actr10","ENSMUSG00000021076"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Actr6","ENSMUSG00000019948"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Acyp1","ENSMUSG00000008822"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2,"Adi1","ENSMUSG00000020629"
"B6D2F1 pure (N=1)",1,"Adipor2","ENSMUSG00000030168"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Adsl","ENSMUSG00000022407"
"CAST/EiJxC57BL/6J (N=1)",1,"AF067061","ENSMUSG00000095071"
"B6D2F1 pure (N=1)",1,"AF067063","ENSMUSG00000094237"
"C57BL/6 pure (N=3)",1,"Aff1","ENSMUSG00000029313"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Aff4","ENSMUSG00000049470"
"CAST/EiJxC57BL/6J (N=1)",1,"Agfg2","ENSMUSG00000029722"
"CAST/EiJxC57BL/6J (N=1)",1,"Aggf1","ENSMUSG00000021681"
"C57BL/6 pure (N=3)",1,"Agl","ENSMUSG00000033400"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Agpat5","ENSMUSG00000031467"
"C57BL/6 pure (N=3)",1,"Agtrap","ENSMUSG00000029007"
"C57BL/6 pure (N=3)",1,"Ahdc1","ENSMUSG00000037692"
"C57BL/6 pure (N=3)",1,"Ahrr","ENSMUSG00000021575"
"C57BL/6 pure (N=3)",1,"AI413582","ENSMUSG00000062753"
"CAST/EiJxC57BL/6J (N=1)",1,"Aifm1","ENSMUSG00000036932"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Aimp2","ENSMUSG00000029610"
"C57BL/6 pure (N=3)",1,"Aip","ENSMUSG00000024847"
"CAST/EiJxC57BL/6J (N=1)",1,"Ak6","ENSMUSG00000078941"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Akap8","ENSMUSG00000024045"
"CAST/EiJxC57BL/6J (N=1)",1,"Akirin1","ENSMUSG00000023075"
"C57BL/6 pure (N=3)",1,"Aldoa","ENSMUSG00000114515"
